Date,Solar Noon,,Sunrise,,Sunset,,Day Length,,Civil Twilight,,Nautical Twilight,,Astron. Twilight,
09 Mar,11:55,79.75°,05:46,94.97°,18:03,-94.97°,12:16:40,-00:00:50,05:25,18:24,05:00,18:49,04:35,19:15
10 Mar,11:54,79.36°,05:46,94.57°,18:02,-94.57°,12:15:50,-00:00:50,05:25,18:24,05:00,18:49,04:35,19:14
11 Mar,11:54,78.97°,05:47,94.16°,18:02,-94.16°,12:15:00,-00:00:50,05:25,18:23,05:00,18:48,04:35,19:13
12 Mar,11:54,78.58°,05:47,93.75°,18:01,-93.75°,12:14:09,-00:00:50,05:25,18:22,05:00,18:47,04:35,19:12
13 Mar,11:54,78.18°,05:47,93.35°,18:00,-93.35°,12:13:19,-00:00:50,05:25,18:22,05:01,18:47,04:35,19:12
14 Mar,11:53,77.79°,05:47,92.94°,18:00,-92.94°,12:12:29,-00:00:50,05:26,18:21,05:01,18:46,04:36,19:11
15 Mar,11:53,77.39°,05:47,92.53°,17:59,-92.53°,12:11:38,-00:00:50,05:26,18:20,05:01,18:45,04:36,19:10
16 Mar,11:53,77.00°,05:47,92.12°,17:58,-92.12°,12:10:48,-00:00:50,05:26,18:19,05:01,18:44,04:36,19:09
17 Mar,11:52,76.60°,05:47,91.71°,17:57,-91.71°,12:09:57,-00:00:50,05:26,18:19,05:01,18:44,04:36,19:09
18 Mar,11:52,76.21°,05:48,91.30°,17:57,-91.30°,12:09:07,-00:00:50,05:26,18:18,05:01,18:43,04:36,19:08
19 Mar,11:52,75.81°,05:48,90.89°,17:56,-90.89°,12:08:17,-00:00:50,05:26,18:17,05:01,18:42,04:36,19:07
20 Mar,11:51,75.42°,05:48,90.48°,17:55,-90.48°,12:07:26,-00:00:50,05:26,18:17,05:02,18:41,04:37,19:06
21 Mar,11:51,75.02°,05:48,90.08°,17:54,-90.08°,12:06:36,-00:00:50,05:26,18:16,05:02,18:41,04:37,19:06
22 Mar,11:51,74.63°,05:48,89.67°,17:54,-89.67°,12:05:46,-00:00:50,05:27,18:15,05:02,18:40,04:37,19:05
23 Mar,11:51,74.23°,05:48,89.26°,17:53,-89.26°,12:04:56,-00:00:50,05:27,18:14,05:02,18:39,04:37,19:04
24 Mar,11:50,73.84°,05:48,88.85°,17:52,-88.85°,12:04:06,-00:00:50,05:27,18:14,05:02,18:38,04:37,19:03
25 Mar,11:50,73.45°,05:48,88.44°,17:52,-88.44°,12:03:15,-00:00:50,05:27,18:13,05:02,18:38,04:37,19:03
26 Mar,11:50,73.05°,05:48,88.04°,17:51,-88.04°,12:02:26,-00:00:50,05:27,18:12,05:02,18:37,04:37,19:02
27 Mar,11:49,72.66°,05:48,87.63°,17:50,-87.63°,12:01:36,-00:00:50,05:27,18:11,05:02,18:36,04:37,19:01
28 Mar,11:49,72.27°,05:49,87.23°,17:49,-87.23°,12:00:46,-00:00:50,05:27,18:11,05:02,18:36,04:38,19:00
29 Mar,11:49,71.88°,05:49,86.82°,17:49,-86.82°,11:59:56,-00:00:50,05:27,18:10,05:02,18:35,04:38,19:00
30 Mar,11:48,71.49°,05:49,86.42°,17:48,-86.42°,11:59:07,-00:00:50,05:27,18:09,05:03,18:34,04:38,18:59
31 Mar,11:48,71.10°,05:49,86.02°,17:47,-86.02°,11:58:17,-00:00:49,05:27,18:09,05:03,18:33,04:38,18:58
01 Apr,11:48,70.72°,05:49,85.62°,17:46,-85.62°,11:57:28,-00:00:49,05:28,18:08,05:03,18:33,04:38,18:58
02 Apr,11:47,70.33°,05:49,85.22°,17:46,-85.22°,11:56:39,-00:00:49,05:28,18:07,05:03,18:32,04:38,18:57
03 Apr,11:47,69.95°,05:49,84.82°,17:45,-84.82°,11:55:50,-00:00:49,05:28,18:06,05:03,18:31,04:38,18:56
04 Apr,11:47,69.56°,05:49,84.43°,17:44,-84.43°,11:55:01,-00:00:49,05:28,18:06,05:03,18:31,04:38,18:55
05 Apr,11:46,69.18°,05:49,84.03°,17:44,-84.03°,11:54:12,-00:00:49,05:28,18:05,05:03,18:30,04:38,18:55
06 Apr,11:46,68.80°,05:49,83.64°,17:43,-83.64°,11:53:24,-00:00:49,05:28,18:04,05:03,18:29,04:38,18:54
07 Apr,11:46,68.43°,05:50,83.25°,17:42,-83.25°,11:52:36,-00:00:48,05:28,18:04,05:03,18:29,04:38,18:53
08 Apr,11:46,68.05°,05:50,82.86°,17:41,-82.86°,11:51:47,-00:00:48,05:28,18:03,05:03,18:28,04:38,18:53
09 Apr,11:45,67.68°,05:50,82.47°,17:41,-82.47°,11:50:59,-00:00:48,05:28,18:02,05:03,18:27,04:38,18:52
10 Apr,11:45,67.31°,05:50,82.09°,17:40,-82.09°,11:50:12,-00:00:48,05:28,18:02,05:03,18:27,04:39,18:52
11 Apr,11:45,66.94°,05:50,81.71°,17:39,-81.71°,11:49:24,-00:00:48,05:28,18:01,05:03,18:26,04:39,18:51
12 Apr,11:44,66.57°,05:50,81.33°,17:39,-81.33°,11:48:37,-00:00:47,05:29,18:00,05:04,18:25,04:39,18:50
13 Apr,11:44,66.21°,05:50,80.95°,17:38,-80.95°,11:47:50,-00:00:47,05:29,18:00,05:04,18:25,04:39,18:50
14 Apr,11:44,65.84°,05:50,80.58°,17:37,-80.58°,11:47:03,-00:00:47,05:29,17:59,05:04,18:24,04:39,18:49
15 Apr,11:44,65.49°,05:51,80.20°,17:37,-80.20°,11:46:16,-00:00:47,05:29,17:58,05:04,18:24,04:39,18:48
16 Apr,11:43,65.13°,05:51,79.83°,17:36,-79.83°,11:45:30,-00:00:46,05:29,17:58,05:04,18:23,04:39,18:48
17 Apr,11:43,64.77°,05:51,79.47°,17:36,-79.47°,11:44:44,-00:00:46,05:29,17:57,05:04,18:22,04:39,18:47
18 Apr,11:43,64.42°,05:51,79.10°,17:35,-79.10°,11:43:58,-00:00:46,05:29,17:57,05:04,18:22,04:39,18:47
19 Apr,11:43,64.08°,05:51,78.74°,17:34,-78.74°,11:43:13,-00:00:45,05:29,17:56,05:04,18:21,04:39,18:46
20 Apr,11:42,63.73°,05:51,78.39°,17:34,-78.39°,11:42:28,-00:00:45,05:29,17:55,05:04,18:21,04:39,18:46
21 Apr,11:42,63.39°,05:51,78.03°,17:33,-78.03°,11:41:43,-00:00:45,05:30,17:55,05:04,18:20,04:39,18:45
22 Apr,11:42,63.05°,05:52,77.68°,17:33,-77.68°,11:40:58,-00:00:45,05:30,17:54,05:05,18:20,04:39,18:45
23 Apr,11:42,62.71°,05:52,77.33°,17:32,-77.33°,11:40:14,-00:00:44,05:30,17:54,05:05,18:19,04:39,18:44
24 Apr,11:42,62.38°,05:52,76.99°,17:31,-76.99°,11:39:30,-00:00:44,05:30,17:53,05:05,18:19,04:40,18:44
25 Apr,11:41,62.05°,05:52,76.65°,17:31,-76.65°,11:38:47,-00:00:43,05:30,17:53,05:05,18:18,04:40,18:43
26 Apr,11:41,61.73°,05:52,76.31°,17:30,-76.31°,11:38:04,-00:00:43,05:30,17:52,05:05,18:18,04:40,18:43
27 Apr,11:41,61.41°,05:52,75.98°,17:30,-75.98°,11:37:21,-00:00:43,05:30,17:52,05:05,18:17,04:40,18:42
28 Apr,11:41,61.09°,05:53,75.65°,17:29,-75.65°,11:36:39,-00:00:42,05:31,17:51,05:05,18:17,04:40,18:42
29 Apr,11:41,60.78°,05:53,75.33°,17:29,-75.33°,11:35:57,-00:00:42,05:31,17:51,05:05,18:16,04:40,18:42
30 Apr,11:41,60.47°,05:53,75.01°,17:28,-75.01°,11:35:15,-00:00:41,05:31,17:50,05:06,18:16,04:40,18:41
01 May,11:41,60.16°,05:53,74.69°,17:28,-74.69°,11:34:34,-00:00:41,05:31,17:50,05:06,18:15,04:40,18:41
02 May,11:40,59.86°,05:53,74.38°,17:27,-74.38°,11:33:54,-00:00:41,05:31,17:49,05:06,18:15,04:40,18:40
03 May,11:40,59.56°,05:54,74.07°,17:27,-74.07°,11:33:13,-00:00:40,05:32,17:49,05:06,18:15,04:41,18:40
04 May,11:40,59.27°,05:54,73.77°,17:26,-73.77°,11:32:34,-00:00:40,05:32,17:49,05:06,18:14,04:41,18:40
05 May,11:40,58.98°,05:54,73.47°,17:26,-73.47°,11:31:55,-00:00:39,05:32,17:48,05:06,18:14,04:41,18:39
06 May,11:40,58.70°,05:54,73.17°,17:26,-73.17°,11:31:16,-00:00:39,05:32,17:48,05:06,18:14,04:41,18:39
07 May,11:40,58.42°,05:55,72.88°,17:25,-72.88°,11:30:38,-00:00:38,05:32,17:48,05:07,18:13,04:41,18:39
08 May,11:40,58.14°,05:55,72.60°,17:25,-72.60°,11:30:00,-00:00:38,05:33,17:47,05:07,18:13,04:41,18:39
09 May,11:40,57.87°,05:55,72.32°,17:25,-72.32°,11:29:23,-00:00:37,05:33,17:47,05:07,18:13,04:41,18:38
10 May,11:40,57.61°,05:55,72.04°,17:24,-72.04°,11:28:47,-00:00:37,05:33,17:47,05:07,18:12,04:42,18:38
11 May,11:40,57.35°,05:56,71.77°,17:24,-71.77°,11:28:11,-00:00:36,05:33,17:46,05:07,18:12,04:42,18:38
12 May,11:40,57.09°,05:56,71.51°,17:24,-71.51°,11:27:35,-00:00:35,05:33,17:46,05:08,18:12,04:42,18:38
13 May,11:40,56.84°,05:56,71.25°,17:23,-71.25°,11:27:00,-00:00:35,05:34,17:46,05:08,18:12,04:42,18:37
14 May,11:40,56.60°,05:56,70.99°,17:23,-70.99°,11:26:26,-00:00:34,05:34,17:45,05:08,18:11,04:42,18:37
15 May,11:40,56.36°,05:57,70.75°,17:23,-70.75°,11:25:53,-00:00:33,05:34,17:45,05:08,18:11,04:42,18:37
16 May,11:40,56.12°,05:57,70.50°,17:22,-70.50°,11:25:20,-00:00:33,05:34,17:45,05:08,18:11,04:43,18:37
17 May,11:40,55.90°,05:57,70.26°,17:22,-70.26°,11:24:48,-00:00:32,05:35,17:45,05:09,18:11,04:43,18:37
18 May,11:40,55.67°,05:58,70.03°,17:22,-70.03°,11:24:16,-00:00:31,05:35,17:45,05:09,18:11,04:43,18:37
19 May,11:40,55.45°,05:58,69.81°,17:22,-69.81°,11:23:46,-00:00:31,05:35,17:44,05:09,18:11,04:43,18:36
20 May,11:40,55.24°,05:58,69.58°,17:21,-69.58°,11:23:16,-00:00:30,05:36,17:44,05:09,18:10,04:43,18:36
21 May,11:40,55.03°,05:59,69.37°,17:21,-69.37°,11:22:46,-00:00:29,05:36,17:44,05:10,18:10,04:44,18:36
22 May,11:40,54.83°,05:59,69.16°,17:21,-69.16°,11:22:18,-00:00:29,05:36,17:44,05:10,18:10,04:44,18:36
23 May,11:40,54.64°,05:59,68.96°,17:21,-68.96°,11:21:50,-00:00:28,05:36,17:44,05:10,18:10,04:44,18:36
24 May,11:40,54.45°,05:59,68.76°,17:21,-68.76°,11:21:23,-00:00:27,05:37,17:44,05:10,18:10,04:44,18:36
25 May,11:40,54.26°,06:00,68.57°,17:21,-68.57°,11:20:56,-00:00:26,05:37,17:44,05:11,18:10,04:44,18:36
26 May,11:40,54.09°,06:00,68.39°,17:21,-68.39°,11:20:31,-00:00:25,05:37,17:44,05:11,18:10,04:45,18:36
27 May,11:40,53.91°,06:00,68.21°,17:21,-68.21°,11:20:06,-00:00:25,05:38,17:43,05:11,18:10,04:45,18:36
28 May,11:41,53.75°,06:01,68.04°,17:20,-68.04°,11:19:42,-00:00:24,05:38,17:43,05:11,18:10,04:45,18:36
29 May,11:41,53.59°,06:01,67.87°,17:20,-67.87°,11:19:19,-00:00:23,05:38,17:43,05:12,18:10,04:45,18:36
30 May,11:41,53.44°,06:01,67.71°,17:20,-67.71°,11:18:57,-00:00:22,05:38,17:43,05:12,18:10,04:46,18:36
31 May,11:41,53.29°,06:02,67.56°,17:20,-67.56°,11:18:36,-00:00:21,05:39,17:43,05:12,18:10,04:46,18:36
01 Jun,11:41,53.15°,06:02,67.41°,17:20,-67.41°,11:18:15,-00:00:20,05:39,17:43,05:12,18:10,04:46,18:36
02 Jun,11:41,53.02°,06:02,67.27°,17:20,-67.27°,11:17:56,-00:00:20,05:39,17:43,05:13,18:10,04:46,18:36
03 Jun,11:42,52.89°,06:03,67.14°,17:20,-67.14°,11:17:37,-00:00:19,05:40,17:43,05:13,18:10,04:47,18:36
04 Jun,11:42,52.77°,06:03,67.02°,17:20,-67.02°,11:17:20,-00:00:18,05:40,17:43,05:13,18:10,04:47,18:36
05 Jun,11:42,52.65°,06:03,66.90°,17:20,-66.90°,11:17:03,-00:00:17,05:40,17:44,05:14,18:10,04:47,18:37
06 Jun,11:42,52.54°,06:04,66.78°,17:20,-66.78°,11:16:47,-00:00:16,05:41,17:44,05:14,18:10,04:47,18:37
07 Jun,11:42,52.44°,06:04,66.68°,17:21,-66.68°,11:16:32,-00:00:15,05:41,17:44,05:14,18:10,04:48,18:37
08 Jun,11:42,52.35°,06:04,66.58°,17:21,-66.58°,11:16:18,-00:00:14,05:41,17:44,05:14,18:10,04:48,18:37
09 Jun,11:43,52.26°,06:05,66.49°,17:21,-66.49°,11:16:05,-00:00:13,05:41,17:44,05:15,18:11,04:48,18:37
10 Jun,11:43,52.18°,06:05,66.40°,17:21,-66.40°,11:15:53,-00:00:12,05:42,17:44,05:15,18:11,04:49,18:37
11 Jun,11:43,52.10°,06:05,66.33°,17:21,-66.33°,11:15:42,-00:00:11,05:42,17:44,05:15,18:11,04:49,18:37
12 Jun,11:43,52.04°,06:06,66.26°,17:21,-66.26°,11:15:32,-00:00:10,05:42,17:44,05:16,18:11,04:49,18:38
13 Jun,11:43,51.98°,06:06,66.19°,17:21,-66.19°,11:15:23,-00:00:09,05:43,17:44,05:16,18:11,04:49,18:38
14 Jun,11:44,51.92°,06:06,66.14°,17:21,-66.14°,11:15:15,-00:00:08,05:43,17:45,05:16,18:11,04:50,18:38
15 Jun,11:44,51.87°,06:06,66.09°,17:21,-66.09°,11:15:08,-00:00:07,05:43,17:45,05:16,18:12,04:50,18:38
16 Jun,11:44,51.83°,06:07,66.05°,17:22,-66.05°,11:15:02,-00:00:06,05:43,17:45,05:17,18:12,04:50,18:38
17 Jun,11:44,51.80°,06:07,66.01°,17:22,-66.01°,11:14:57,-00:00:05,05:44,17:45,05:17,18:12,04:50,18:38
18 Jun,11:45,51.77°,06:07,65.98°,17:22,-65.98°,11:14:53,-00:00:04,05:44,17:45,05:17,18:12,04:51,18:39
19 Jun,11:45,51.75°,06:07,65.96°,17:22,-65.96°,11:14:50,-00:00:03,05:44,17:46,05:17,18:12,04:51,18:39
20 Jun,11:45,51.74°,06:08,65.95°,17:22,-65.95°,11:14:48,-00:00:02,05:44,17:46,05:18,18:13,04:51,18:39
21 Jun,11:45,51.73°,06:08,65.94°,17:23,-65.94°,11:14:47,-00:00:01,05:45,17:46,05:18,18:13,04:51,18:39
22 Jun,11:46,51.74°,06:08,65.94°,17:23,-65.94°,11:14:48,00:00:00,05:45,17:46,05:18,18:13,04:51,18:40
23 Jun,11:46,51.74°,06:08,65.95°,17:23,-65.95°,11:14:49,00:00:01,05:45,17:46,05:18,18:13,04:52,18:40
24 Jun,11:46,51.76°,06:09,65.97°,17:23,-65.97°,11:14:51,00:00:02,05:45,17:47,05:18,18:13,04:52,18:40
25 Jun,11:46,51.78°,06:09,65.99°,17:24,-65.99°,11:14:54,00:00:03,05:45,17:47,05:19,18:14,04:52,18:40
26 Jun,11:46,51.81°,06:09,66.02°,17:24,-66.02°,11:14:58,00:00:04,05:46,17:47,05:19,18:14,04:52,18:40
27 Jun,11:47,51.84°,06:09,66.05°,17:24,-66.05°,11:15:03,00:00:05,05:46,17:47,05:19,18:14,04:53,18:41
28 Jun,11:47,51.88°,06:09,66.10°,17:24,-66.10°,11:15:10,00:00:06,05:46,17:48,05:19,18:14,04:53,18:41
29 Jun,11:47,51.93°,06:09,66.15°,17:25,-66.15°,11:15:17,00:00:07,05:46,17:48,05:19,18:15,04:53,18:41
30 Jun,11:47,51.99°,06:10,66.21°,17:25,-66.21°,11:15:25,00:00:08,05:46,17:48,05:20,18:15,04:53,18:41
01 Jul,11:47,52.05°,06:10,66.27°,17:25,-66.27°,11:15:34,00:00:09,05:46,17:49,05:20,18:15,04:53,18:42
02 Jul,11:48,52.12°,06:10,66.34°,17:26,-66.34°,11:15:45,00:00:10,05:47,17:49,05:20,18:15,04:53,18:42
03 Jul,11:48,52.20°,06:10,66.42°,17:26,-66.42°,11:15:56,00:00:11,05:47,17:49,05:20,18:16,04:54,18:42
04 Jul,11:48,52.28°,06:10,66.51°,17:26,-66.51°,11:16:08,00:00:12,05:47,17:49,05:20,18:16,04:54,18:42
05 Jul,11:48,52.37°,06:10,66.60°,17:26,-66.60°,11:16:21,00:00:13,05:47,17:50,05:20,18:16,04:54,18:43
06 Jul,11:48,52.46°,06:10,66.70°,17:27,-66.70°,11:16:35,00:00:14,05:47,17:50,05:20,18:17,04:54,18:43
07 Jul,11:49,52.57°,06:10,66.81°,17:27,-66.81°,11:16:50,00:00:15,05:47,17:50,05:20,18:17,04:54,18:43
08 Jul,11:49,52.67°,06:10,66.92°,17:27,-66.92°,11:17:06,00:00:16,05:47,17:50,05:21,18:17,04:54,18:43
09 Jul,11:49,52.79°,06:10,67.04°,17:28,-67.04°,11:17:23,00:00:17,05:47,17:51,05:21,18:17,04:54,18:44
10 Jul,11:49,52.91°,06:10,67.16°,17:28,-67.16°,11:17:41,00:00:18,05:47,17:51,05:21,18:18,04:54,18:44
11 Jul,11:49,53.04°,06:10,67.30°,17:28,-67.30°,11:17:59,00:00:19,05:47,17:51,05:21,18:18,04:54,18:44
12 Jul,11:49,53.17°,06:10,67.44°,17:29,-67.44°,11:18:19,00:00:20,05:47,17:52,05:21,18:18,04:54,18:44
13 Jul,11:50,53.31°,06:10,67.58°,17:29,-67.58°,11:18:39,00:00:20,05:47,17:52,05:21,18:18,04:54,18:45
14 Jul,11:50,53.46°,06:10,67.74°,17:29,-67.74°,11:19:01,00:00:21,05:47,17:52,05:21,18:19,04:54,18:45
